Year,Total_output,Livestock_and_products_All,Livestock_and_products_Meat_animals,Livestock_and_products_Dairy,Livestock_and_products_Poultry_and_eggs,Crops_All,Crops_Food_grains,Crops_Feed_crops,Crops_Oil_crops,Crops_Vegetables_and_melons,Crops_Fruits_and_nuts,Crops_Other_crops,Farm_related_output,Total_farm_input,Capital_input_All,Capital_input_Duarable_equipment,Capital_input_Service_buildings,Capital_input_Land,Capital_input_Inventories,Labor_input_All,Labor_input_Hired_labor,Labor_input_Self_employed_and_unpaid_family,Intermediate_ goods_input_All,Intermediate_ goods_input_Feed_and_seed,Intermediate_ goods_input_Energy,Intermediate_ goods_input_Fertilizer_and_lime,Intermediate_ goods_input_Pesticides,Intermediate_ goods_input_Purchased_services,Intermediate_ goods_input_Other_intermediate,Total _factor_productivity_TFP
1948,0.4028,0.4821,0.6038,0.5306,0.1444,0.3789,0.511,0.4438,0.1374,0.3255,0.3734,0.4239,0.2379,0.9937,1.1592,0.6332,0.7847,1.3326,0.5482,3.8281,3.2223,4.1486,0.4776,0.4987,0.7291,0.4086,0.0378,0.4665,0.3266,0.4054
1949,0.3968,0.4855,0.6253,0.5543,0.1649,0.367,0.4389,0.4081,0.1314,0.3686,0.3297,0.468,0.2239,1.0071,1.1813,0.7472,0.8187,1.3372,0.5932,3.7359,2.9938,4.1266,0.4934,0.5159,0.8072,0.3962,0.0456,0.4652,0.3817,0.394
1950,0.3871,0.4935,0.6414,0.5593,0.1774,0.3454,0.4091,0.4184,0.1335,0.3562,0.326,0.362,0.2272,1.0127,1.2107,0.8621,0.8459,1.3404,0.5853,3.5943,3.1211,3.8454,0.5034,0.5151,0.828,0.5069,0.0584,0.4765,0.3314,0.3823
1951,0.4033,0.5133,0.6766,0.5502,0.1894,0.3626,0.4037,0.4043,0.1396,0.3616,0.3596,0.4603,0.1968,1.0285,1.2348,0.9622,0.8708,1.3417,0.5996,3.4562,3.0134,3.6912,0.5263,0.5389,0.8594,0.4952,0.05,0.5183,0.3405,0.3921
1952,0.4161,0.5248,0.7033,0.5555,0.1935,0.377,0.518,0.4177,0.1396,0.3441,0.3531,0.4606,0.2061,1.0309,1.2538,1.0459,0.8936,1.3409,0.6301,3.3789,2.9444,3.6097,0.529,0.5339,0.8971,0.5151,0.0526,0.5323,0.3523,0.4036
1953,0.4227,0.5387,0.7069,0.5921,0.1986,0.3799,0.4756,0.4175,0.1409,0.3671,0.3616,0.4808,0.2073,1.0274,1.2643,1.0919,0.9166,1.3378,0.6501,3.2386,2.8603,3.4396,0.5334,0.5487,0.9181,0.4821,0.0645,0.5098,0.3266,0.4115
1954,0.4222,0.5534,0.7347,0.6069,0.2098,0.3715,0.4176,0.4322,0.1482,0.3561,0.3771,0.4392,0.1926,0.9998,1.2684,1.1475,0.9367,1.3317,0.6366,3.1737,2.6967,3.427,0.5057,0.5082,0.9153,0.4896,0.0718,0.4939,0.3095,0.4223
1955,0.4338,0.5647,0.7605,0.616,0.2064,0.3847,0.3945,0.4554,0.1717,0.3764,0.3938,0.4471,0.1844,1.0343,1.2732,1.1679,0.9551,1.3218,0.6531,3.1031,2.6503,3.3435,0.5501,0.5707,0.9391,0.4933,0.094,0.5106,0.3074,0.4194
1956,0.4363,0.5775,0.7493,0.6326,0.2295,0.3809,0.4122,0.4482,0.1867,0.3899,0.3925,0.4207,0.2,1.0338,1.2745,1.1823,0.9707,1.3086,0.6625,2.9083,2.4202,3.1678,0.5683,0.5924,0.9391,0.4984,0.1299,0.5246,0.2878,0.4221
1957,0.4311,0.5642,0.7142,0.6384,0.235,0.3778,0.3905,0.4904,0.1803,0.383,0.4,0.3533,0.2262,1.026,1.259,1.1652,0.9823,1.2933,0.6452,2.6967,2.3218,2.8955,0.5864,0.6208,0.9235,0.5035,0.0943,0.5441,0.3049,0.4202
1958,0.4552,0.5695,0.7254,0.6374,0.2487,0.4151,0.5763,0.5173,0.2164,0.3977,0.3705,0.3747,0.2373,1.0314,1.2514,1.1468,0.9926,1.2784,0.666,2.5706,2.3388,2.6921,0.6102,0.6521,0.9002,0.5028,0.1133,0.5706,0.3098,0.4414
1959,0.4671,0.5874,0.7644,0.6361,0.2582,0.4204,0.4607,0.5227,0.1978,0.4201,0.4026,0.447,0.2901,1.0606,1.2534,1.1512,1.0016,1.267,0.6902,2.5529,2.2827,2.6953,0.6486,0.6651,0.9131,0.57,0.1486,0.6587,0.3787,0.4404
1960,0.482,0.5869,0.7602,0.6481,0.2527,0.4445,0.5495,0.5489,0.2117,0.4158,0.4298,0.4684,0.3105,1.0493,1.2598,1.161,1.0232,1.2612,0.6986,2.4107,2.2831,2.4756,0.6504,0.6659,0.9251,0.6438,0.1347,0.6414,0.3866,0.4593
1961,0.4875,0.616,0.8002,0.6672,0.2733,0.4384,0.5038,0.5119,0.2437,0.439,0.4464,0.474,0.2896,1.0296,1.2566,1.1412,1.0431,1.2592,0.7127,2.3516,2.2727,2.3902,0.6332,0.6388,0.9467,0.6316,0.1535,0.6251,0.3882,0.4735
1962,0.4914,0.6139,0.7982,0.6744,0.272,0.4456,0.4667,0.5277,0.2459,0.4457,0.4557,0.5005,0.2951,1.0432,1.2551,1.125,1.0648,1.2584,0.7328,2.3598,2.2689,2.4049,0.6507,0.6618,0.9592,0.6344,0.1713,0.6332,0.4075,0.471
1963,0.509,0.6303,0.8398,0.6719,0.2776,0.4634,0.4887,0.5562,0.2567,0.4475,0.4384,0.527,0.321,1.0488,1.2579,1.1253,1.0897,1.2566,0.7544,2.2613,2.2651,2.2561,0.6702,0.6883,0.9711,0.6738,0.1783,0.6321,0.427,0.4853
1964,0.5054,0.6516,0.8808,0.6852,0.2874,0.448,0.5415,0.51,0.2579,0.432,0.4472,0.5159,0.3069,1.0335,1.2626,1.1381,1.1125,1.2525,0.7663,2.1247,2.0427,2.1651,0.6681,0.6746,0.9918,0.7703,0.1775,0.6173,0.4553,0.4891
1965,0.5181,0.6373,0.8505,0.6723,0.2969,0.476,0.5565,0.5763,0.3039,0.4358,0.4683,0.4831,0.3002,1.0344,1.2604,1.1563,1.1336,1.2451,0.7423,2.0725,1.9231,2.1484,0.6784,0.661,1.0066,0.9777,0.1926,0.626,0.4527,0.5008
1966,0.5154,0.6512,0.8831,0.6508,0.3139,0.4651,0.56,0.5749,0.3118,0.4629,0.482,0.4033,0.2865,1.0439,1.2712,1.1865,1.156,1.2344,0.7745,1.9255,1.7323,2.0245,0.713,0.7136,1.0213,0.9851,0.2063,0.6319,0.462,0.4937
1967,0.5324,0.6626,0.91,0.6459,0.329,0.4863,0.6317,0.6286,0.3212,0.4855,0.4802,0.367,0.2936,1.0493,1.2803,1.2279,1.1807,1.2207,0.7807,1.8097,1.6093,1.9126,0.7389,0.719,1.0173,1.1988,0.2994,0.6433,0.4553,0.5073
1968,0.5405,0.6613,0.9204,0.6402,0.3193,0.5018,0.6697,0.6107,0.3672,0.5154,0.4713,0.4073,0.2801,1.0455,1.2936,1.2777,1.2132,1.2043,0.7978,1.8028,1.5575,1.929,0.7304,0.7275,1.0196,0.9987,0.2991,0.6409,0.4677,0.517
1969,0.5512,0.6642,0.9275,0.6358,0.3266,0.5204,0.6179,0.6324,0.3714,0.4943,0.5596,0.4585,0.2594,1.0439,1.2934,1.2988,1.2361,1.1856,0.8123,1.7715,1.5711,1.8744,0.7348,0.7654,1.0346,0.8658,0.3053,0.6126,0.4675,0.528
1970,0.5427,0.684,0.9695,0.6426,0.3401,0.4936,0.5783,0.5872,0.377,0.4844,0.5307,0.4312,0.2485,1.0352,1.2892,1.309,1.2591,1.1656,0.8214,1.6948,1.5831,1.7518,0.7394,0.786,1.0363,0.8471,0.3141,0.5934,0.4437,0.5242
1971,0.5792,0.6907,0.9792,0.653,0.3458,0.5524,0.6794,0.715,0.4152,0.4938,0.5521,0.4209,0.2532,1.0275,1.2814,1.3217,1.2851,1.146,0.8069,1.6679,1.5654,1.7202,0.7362,0.7678,1.0155,0.8839,0.3481,0.5996,0.4557,0.5637
1972,0.5816,0.6937,0.9687,0.6625,0.356,0.5549,0.6494,0.6972,0.424,0.5012,0.4964,0.481,0.25,1.0378,1.2786,1.3261,1.3075,1.1289,0.8538,1.6605,1.5591,1.7122,0.7553,0.792,1.0053,0.8923,0.4191,0.5993,0.4653,0.5604
1973,0.6093,0.7083,1.0165,0.6378,0.3451,0.5902,0.7156,0.7199,0.5055,0.4977,0.6011,0.4798,0.2971,1.0592,1.2769,1.35,1.3204,1.1163,0.8689,1.6459,1.5821,1.6784,0.795,0.7991,1.0172,1.2743,0.4143,0.6416,0.5043,0.5753
1974,0.5764,0.711,1.0203,0.6391,0.3464,0.5358,0.7599,0.6163,0.4074,0.4954,0.6159,0.4603,0.3087,1.0581,1.288,1.4243,1.3484,1.1101,0.9042,1.6414,1.6839,1.6191,0.7883,0.7942,0.9708,1.2325,0.366,0.6489,0.6272,0.5447
1975,0.6246,0.6863,0.9596,0.6389,0.3392,0.6131,0.9008,0.7143,0.4976,0.527,0.6609,0.4908,0.4561,1.0391,1.3012,1.4825,1.3843,1.1113,0.8739,1.6114,1.7102,1.5602,0.7598,0.7521,1.1443,1.0381,0.3638,0.6722,0.6037,0.6012
1976,0.6278,0.7097,0.982,0.6666,0.3651,0.6089,0.896,0.7213,0.4252,0.5425,0.6407,0.5218,0.4107,1.079,1.3162,1.5199,1.397,1.1167,0.9299,1.5881,1.7294,1.5151,0.8164,0.7873,1.2889,1.2619,0.4316,0.7041,0.5534,0.5818
1977,0.6574,0.7038,0.9377,0.6815,0.3749,0.6605,0.8402,0.7681,0.5769,0.5574,0.678,0.5503,0.416,1.0667,1.3332,1.5697,1.4191,1.1225,0.9077,1.5452,1.687,1.4719,0.8006,0.7547,1.3534,1.2502,0.3714,0.7249,0.5494,0.6163
1978,0.6657,0.6949,0.9086,0.6756,0.3924,0.6779,0.786,0.8251,0.6092,0.5822,0.6717,0.5197,0.4431,1.1387,1.3469,1.6103,1.4438,1.1245,0.9457,1.5193,1.5862,1.4846,0.9092,0.8629,1.4207,1.1953,0.4503,0.8751,0.8556,0.5847
1979,0.7056,0.7042,0.9019,0.6874,0.423,0.7426,0.9166,0.869,0.7405,0.6078,0.7179,0.5519,0.4474,1.1725,1.3343,1.6677,1.388,1.1203,0.9585,1.5441,1.6461,1.4914,0.9619,0.9177,1.3004,1.2924,0.5663,0.9203,0.9989,0.6018
1980,0.6823,0.7375,0.9628,0.717,0.4285,0.6758,1.0199,0.7437,0.5737,0.6115,0.7806,0.5269,0.4771,1.1893,1.3633,1.7264,1.4686,1.1113,1.0134,1.5048,1.6328,1.4387,0.9835,0.9631,1.267,1.6452,0.552,0.8416,0.8395,0.5737
1981,0.7428,0.7561,0.9718,0.742,0.4458,0.772,1.2051,0.8839,0.6377,0.6183,0.7669,0.6235,0.4432,1.1442,1.3448,1.7304,1.4474,1.1003,0.9525,1.5018,1.6254,1.4378,0.925,0.9217,1.216,1.3619,0.614,0.789,0.6464,0.6492
1982,0.7536,0.7504,0.9549,0.7572,0.4473,0.7803,1.1689,0.9032,0.7069,0.6523,0.7639,0.5714,0.5974,1.115,1.3249,1.7012,1.294,1.09,1.0199,1.3941,1.4586,1.3607,0.9086,0.9388,1.1423,1.0536,0.5607,0.822,0.6843,0.6759
1983,0.6478,0.7599,0.9662,0.7804,0.4495,0.597,0.9904,0.586,0.5305,0.6471,0.7589,0.4826,0.5955,1.1061,1.3079,1.6253,1.3908,1.0823,1.0018,1.3761,1.6111,1.2545,0.9051,0.951,1.1096,0.9866,0.5072,0.8028,0.9358,0.5857
1984,0.7386,0.7561,0.9505,0.7531,0.4608,0.7554,1.0972,0.8687,0.6193,0.6651,0.7543,0.6086,0.5193,1.0829,1.279,1.5503,1.4502,1.0767,0.887,1.3355,1.501,1.2499,0.8893,0.8526,1.1479,1.3123,0.6215,0.7831,1.1075,0.682
1985,0.767,0.763,0.9357,0.7994,0.4819,0.7925,1.0291,0.957,0.6806,0.7026,0.7448,0.6031,0.5937,1.0434,1.2593,1.4736,1.4595,1.0722,0.9538,1.2336,1.3602,1.1682,0.8547,0.8637,1.0305,1.1088,0.5849,0.7802,0.7008,0.7351
1986,0.7407,0.7732,0.9397,0.8004,0.5016,0.7441,0.9029,0.9078,0.6237,0.7255,0.7201,0.5514,0.5538,1.038,1.2106,1.3739,1.3912,1.0675,0.9218,1.2544,1.3082,1.2272,0.8658,0.8601,0.9567,1.1527,1.1597,0.6999,0.9194,0.7136
1987,0.747,0.7786,0.9296,0.7988,0.5467,0.7464,0.9043,0.8042,0.6266,0.7698,0.8245,0.6627,0.6039,1.0309,1.1659,1.2728,1.3414,1.0619,0.8991,1.2767,1.335,1.2471,0.8735,0.8382,1.0667,1.1097,1.192,0.739,0.8506,0.7246
1988,0.7043,0.7805,0.9088,0.8123,0.56,0.658,0.8226,0.5993,0.5193,0.7347,0.8855,0.6996,0.7084,1.0252,1.1364,1.2065,1.3464,1.0548,0.8672,1.2925,1.3783,1.2484,0.8751,0.8238,1.0666,1.2511,1.0327,0.7529,0.8946,0.687
1989,0.7618,0.7867,0.9082,0.8066,0.5827,0.7501,0.9023,0.806,0.6217,0.758,0.8467,0.6703,0.7509,1.0126,1.1089,1.1541,1.3706,1.0469,0.8169,1.2499,1.2928,1.2284,0.8781,0.7866,1.0576,1.2186,1.2123,0.8119,0.8517,0.7522
1990,0.7974,0.8032,0.9148,0.8288,0.6201,0.8019,1.1639,0.8307,0.6255,0.783,0.8332,0.7682,0.7623,1.0156,1.0948,1.1191,1.3293,1.0394,0.8555,1.1683,1.2866,1.107,0.9143,0.8516,1.0536,1.1702,1.2399,0.8334,0.86,0.7852
1991,0.8012,0.826,0.9455,0.8287,0.6469,0.7939,0.8881,0.8114,0.6759,0.8218,0.8227,0.8123,0.7518,1.0287,1.0859,1.0944,1.3178,1.0337,0.8843,1.1762,1.2831,1.1209,0.9412,0.855,1.0542,1.5206,1.1571,0.8481,0.9283,0.7788
1992,0.8475,0.8455,0.9665,0.8471,0.6774,0.8705,1.0895,0.9419,0.7168,0.8563,0.8584,0.8224,0.7028,1.0016,1.072,1.0589,1.2882,1.031,0.8831,1.1461,1.2141,1.1116,0.9076,0.8499,1.0406,1.2416,1.1962,0.8157,0.8054,0.8462
1993,0.8064,0.8536,0.9649,0.8468,0.7069,0.7846,1.0413,0.7271,0.6157,0.8877,0.9208,0.8121,0.748,1.0101,1.0602,1.0194,1.2558,1.0324,0.9226,1.0986,1.2083,1.0413,0.9448,0.8692,1.0451,1.1866,1.1806,0.911,0.8538,0.7983
1994,0.9013,0.9012,1.0387,0.8641,0.7419,0.9271,1.0498,0.959,0.8267,0.9807,0.9561,0.879,0.7205,1.0402,1.0369,0.9862,1.2266,1.0362,0.882,1.2664,1.1768,1.3174,0.9588,0.882,1.0736,0.9403,1.3786,0.9442,0.9771,0.8665
1995,0.8539,0.9173,1.0472,0.8743,0.7689,0.8242,0.9756,0.7859,0.7148,0.9291,0.8937,0.8426,0.8053,1.0727,1.0336,0.9567,1.1973,1.0409,0.9516,1.2727,1.2191,1.3044,1.0165,0.919,1.1262,1.1291,1.4801,0.9849,1.0678,0.796
1996,0.895,0.9131,1.0069,0.8675,0.8141,0.8952,1.0096,0.9191,0.7723,0.9607,0.9002,0.8812,0.8186,0.9994,1.0171,0.9283,1.1699,1.0449,0.911,1.1784,1.1643,1.1887,0.9244,0.8303,1.1266,1.0251,0.9375,0.9625,0.9478,0.8956
1997,0.9308,0.9299,1.0252,0.8798,0.8317,0.9408,1.0943,0.917,0.8657,0.9707,1.0645,0.9198,0.8698,1.0346,1.0202,0.913,1.145,1.0468,0.9706,1.1691,1.2253,1.1414,0.9892,0.8925,1.1535,1.042,1.1516,1.0068,1.1038,0.8997
1998,0.9368,0.9364,1.0264,0.8869,0.8472,0.9276,1.1211,0.9368,0.8893,0.9584,0.9717,0.8487,1.0175,1.0441,1.0166,0.9102,1.1206,1.0458,0.9742,1.1102,1.2478,1.0387,1.0282,0.9624,1.1638,1.0512,1.169,1.0347,1.012,0.8972
1999,0.9585,0.9603,1.0282,0.9178,0.8858,0.9379,1.0537,0.9348,0.8584,1.0461,0.9934,0.8826,1.1133,1.0533,1.0131,0.9152,1.099,1.0417,0.9652,1.0986,1.2982,0.9935,1.0506,1.0164,1.1814,0.9931,1.1422,1.0495,1.0355,0.91
2000,0.954,0.9597,0.9981,0.9446,0.9029,0.9554,1.0127,0.9485,0.8816,1.0307,1.0818,0.905,0.932,1.0404,1.0431,0.9124,1.0814,1.0355,0.9576,1.0529,1.0904,1.0335,1.0346,0.9924,1.128,1.1613,1.1852,0.9964,1.0087,0.917
2001,0.9603,0.9675,1.0216,0.9334,0.9175,0.9517,0.933,0.9304,0.9372,0.9835,1.0554,0.9347,1.0013,1.0194,1.034,0.9107,1.0689,1.028,0.9674,1.0506,1.0996,1.0252,1.0008,0.9667,1.1012,1.0662,0.8011,1.0293,1.1016,0.942
2002,0.9417,0.9758,0.9944,0.9608,0.9553,0.9126,0.8004,0.8778,0.878,1.0143,1.0609,0.8993,0.9943,1.0126,1.0472,0.922,1.0487,1.0202,0.9793,1.0612,1.1148,1.0335,0.9798,0.9508,1.1977,0.9592,0.8619,0.9805,1.0409,0.93
2003,0.967,0.9868,0.9944,0.9624,1.0102,0.9501,1.0662,0.9629,0.8017,0.9942,1.0704,0.9222,1.0006,0.9961,0.9884,0.9339,1.0321,1.0131,0.9478,1.0244,1.0904,0.9903,0.9866,0.9676,1.0067,1.2106,0.8848,0.9726,0.9546,0.9707
2004,1.0132,0.9753,1.0029,0.9652,0.9676,1.0396,1.0291,1.0615,0.9945,1.0333,1.0976,1.0153,1.0363,0.9883,0.9893,0.9587,1.0148,1.0065,0.9237,0.9853,0.9882,0.9838,0.9896,0.9711,1.0802,1.1864,0.9666,0.9614,0.8169,1.0251
2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,1.0072,1.0203,1.0085,1.0277,1.0307,0.9842,0.8626,0.9386,1.0054,0.9894,1.0921,1.013,1.1031,0.9983,1.0035,1.0249,0.983,0.9934,0.9973,0.9293,0.9157,0.9363,1.0292,1.0057,0.9629,1.1189,1.0638,1.0508,1.0147,1.0089
2007,1.0255,1.0238,1.0212,1.0496,1.0392,1.0223,0.9613,1.0995,0.8585,0.9887,1.1722,0.9676,1.0492,1.0484,0.9946,1.0249,0.9643,0.9865,0.9719,0.9492,1.0013,0.9228,1.1136,1.0393,1.1054,1.173,1.3309,1.1654,1.0778,0.9782
2008,1.033,1.0402,1.0221,1.0744,1.0789,1.0129,1.1492,1.0467,0.9417,0.8196,1.1494,0.9631,1.1493,1.0186,0.9952,1.039,0.9474,0.9816,0.9777,0.9309,0.9647,0.9137,1.0677,1.0262,1.0052,1.1257,1.2834,1.0792,1.0984,1.0141
2009,1.045,1.0171,1.0158,1.0703,1.0311,1.0376,1.0475,1.0996,1.0547,0.8156,1.1814,0.9172,1.2175,0.995,1.0044,1.0766,0.9364,0.979,0.9708,0.9061,0.9387,0.8895,1.0337,1.022,1.2975,0.8555,1.1734,1.0015,1.0426,1.0502
2010,1.0278,1.0299,1.0141,1.0913,1.0472,1.0307,1.056,1.0519,1.0506,0.8139,1.1936,0.9602,0.9796,0.9889,1.0033,1.0773,0.9223,0.978,0.9224,0.9024,1.0093,0.8491,1.0257,1.0319,1.0551,0.9931,1.1479,0.9777,1.002,1.0393
2011,1.028,1.0461,1.0449,1.1106,1.0691,0.9896,0.9389,1.0119,0.9791,0.7961,1.2427,0.9077,1.2518,0.9893,1.0017,1.0882,0.9049,0.9778,0.8353,0.9039,0.9933,0.8593,1.0269,0.9841,0.9923,1.0127,1.7226,1,0.9732,1.0391
2012,1.0234,1.0549,1.039,1.1356,1.0465,0.9496,1.0539,0.9098,0.9729,0.8258,1.2469,0.8658,1.5051,0.9882,1.0064,1.1233,0.8955,0.9777,0.8209,0.8968,0.9956,0.8475,1.0248,0.9713,0.575,1.1754,2.0188,1.0856,1.3047,1.0356
2013,1.099,1.0603,1.0358,1.1389,1.0595,1.0654,0.9999,1.1284,1.067,0.8108,1.3004,0.9161,1.5677,1.0026,1.048,1.1959,0.8849,1.0193,0.7292,0.9048,1.0318,0.8415,1.0281,0.9613,0.6165,1.363,2.0843,1.0183,1.2225,1.0961
2014,1.0886,1.0307,1.0525,1.1664,1.0728,1.0796,0.9872,1.164,1.215,0.8143,1.2703,0.7915,1.4633,1.0567,1.0578,1.2682,0.8802,1.0171,0.7824,0.8664,1.0291,0.7853,1.1406,1.0724,0.6315,1.3596,2.6802,1.1644,1.3735,1.0302
2015,1.0863,1.0584,1.0971,1.181,1.0874,1.062,0.9744,1.1316,1.2417,0.8125,1.2214,0.7717,1.4032,1.0648,1.0671,1.3264,0.8746,1.0156,0.7758,0.9619,1.0691,0.9085,1.1161,1.0614,0.7188,1.357,2.3287,1.0971,1.2239,1.0201
